Name,Rating,Review,Comment
Gopal Ch Mandal,5,Perfect product!,I AM GIVING REVIEW HONESTLY AFTER USING 4 DAYS-MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS. 1. BUDS SOUND QUALITY IS CRYSTAL CLEAR AND VOICE IS TOO CLEAR. 2. THE SMALL INSTRUMENTS MUSIC ARE LISTENING VERY GOOD. 3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.  4. USE POWERAMP MUSIC PLAYER FOR BEST BASS EXPERIENCE. 5. GREAT STEREO EXPERIENCE. 6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY. 7. ONLY ONE INDICATOR LIGHT IS...
Volvoji Saikumar,4,Delightful,Sound is clear and good .bass is 4 out 5 . I am satisfied with noise brand  .good and nice product.👍👍
Roushan Kumar,5,Perfect product!,Cute and unique design with great sound. Very comfortable in ear with  decent battery backup. Good quality in this price range. Great job Noise 👍😊
Deepika Dalabehera,4,Good quality product,Nyc look bt it was my fst tym use sooo I not suree best quality or not bt look osm or sounds is best ❤️❤️❤️❤️ fitting also cool ye review
Satadal Dey,5,Great product,"Today only I received this earbuds, the base is good and all I am feeling ok the product is moral just fine the voice and calling experience is also very good and the music is totally clear and let's see I will update this review after 2 month of use...The only thing is you have only one indicator that is in the bottom of it beside the charging point from there only you will get to know whether the your buds are charging or not that is only the backdrop nothing else is the music and clarity ..."
Buthala.Naveen Kumar,5,Mind-blowing purchase,"Loved it, So beautiful nice excellent charing and bass, voice sound"
sunil  Sunil,4,Delightful,"It's good 👍👍 battery back up is so so good and design is so pretty and adorable I love and I like this gadget, thank you noise , and thank you flipkart and team, love you all"
Affan Sayyed,4,Really Nice,"Awesome Design and build, touch response, battery backup, user friendly, etc everything is on point and goodLEDs are working fineA little low on sound quality and sound clarityThe words heard during a call aren't distinctive or clearRest everything's good"
Jasmeet Singh,4,Good choice,"Benefits :- cheap, fits properly in ur ear, sound quality is better, battery backup is good, good design. Know worse things:- bass is too solid that voice truely becomes a noise in ur ears, range to the connected device is around 10 mtrs. But still is a very good call in this range. I conside it to be purchased."
Dilip Yadav,4,Wonderful,I AM GIVING REVIEW HONESTLY AFTER USING 30DAYSMY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS.1. BUDS SOUND QUALITY IS CRYSTAL CLEAR ANDVOICE IS TOO CLEAR.2. THE SMALL INSTRUMENTS MUSIC ARELISTENING VERY GOOD. 3. DRIVER SIZE IS 11MM BUT BASS QUALITY ISNOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS. 4. USE POWERAMP MUSIC PLAYER FOR BEST BASSEXPERIENCE.5. GREAT STEREO EXPERIENCE.
Alham  Noor,1,Don't waste your money,"First of all decent design but...tbh sound quality is not so decent as I was expecting way better it's only ""thump"" in the sound , calling is okay ,touch controls are pretty impressive battery backup is quite good but still the issue remains sound quality is not good"
Krishna  Sriman,5,Brilliant,"A very nice product to buy . It's little, compact and cute . User friendly ofcourse and you love enjoying your music with these earbuds ... Read all the reviews and you'll get clarity about buying it . I felt awesome for buying it . Thanks Flipkart . Thanks for reading my review with pleasure time . Happy shopping ❤️🔥"
Flipkart Customer,5,Classy product,I bought big billions day it was price 700 lucky to buy it was superb air pods built is quality superb.. 😍 and bass is also good battery backup is excellent is if you have money don't think just to buy it especially  I like it design.. 🥰 overall superb
Ankit Kumar  Dash,5,Wonderful,Well its my first wireless bud and is definitely up to my expectations. To be precise its excellent for movies and call. With music you won't enjoy the deep bass but its fine with its sound quality. Overall a great product at this price
Brijesh Panchal,3,Decent product,"Its Very Good Airbuds in Low Budget , Look wise Good, Design is Very Impressive, sound is quite good , super bass sonic, battery backup was Good, but In ear very Sharp so You are using long time like 1-2 hrs then ear was Paining !!"
Sajid  Ji,5,Great product,This buds is a factor according to me it is very good so don't think in buying it any other brother good sound good bass good connecting good battery 👌👌👌👌😇😇😇🎧🎧🎧
Mukesh Kumare,4,Very Good,"Value for money(means it's not too bad but not too good also, you have to take extreme good care of the case) . Fits good in ears also you don't feel the weight of it, Liked this quality. Sound and battery backup is good too."
